Bandit,Reward,Algorithm
3,5.136104547947596,EpsilonGreedy
3,5.6299406096334526,EpsilonGreedy
3,4.592393710122275,EpsilonGreedy
3,3.454809591934435,EpsilonGreedy
3,5.1296443337231254,EpsilonGreedy
3,3.3475669448083907,EpsilonGreedy
3,4.360922106545379,EpsilonGreedy
3,2.7078098007544797,EpsilonGreedy
3,3.5477123321355153,EpsilonGreedy
3,3.0644873006340205,EpsilonGreedy
3,3.4232478413403618,EpsilonGreedy
3,5.714039438532946,EpsilonGreedy
3,5.176215067558522,EpsilonGreedy
3,1.6582322822688011,EpsilonGreedy
3,3.8205357744793567,EpsilonGreedy
0,1.5019848520204748,EpsilonGreedy
3,4.200485577704045,EpsilonGreedy
3,3.6220427051327544,EpsilonGreedy
3,3.6942958335471463,EpsilonGreedy
3,5.29556859691497,EpsilonGreedy
3,2.6281698884904037,EpsilonGreedy
3,4.056988204090758,EpsilonGreedy
3,3.165310915456812,EpsilonGreedy
3,4.147631860743582,EpsilonGreedy
3,4.897809449710921,EpsilonGreedy
3,5.068148531292319,EpsilonGreedy
3,3.4722672538966632,EpsilonGreedy
3,3.677412724909659,EpsilonGreedy
3,4.473285174872211,EpsilonGreedy
3,4.780460241339707,EpsilonGreedy
3,3.438423815863135,EpsilonGreedy
3,4.1605041095667,EpsilonGreedy
3,2.853200633184671,EpsilonGreedy
3,4.352485916589217,EpsilonGreedy
3,3.5566869631092963,EpsilonGreedy
3,1.4007949799867538,EpsilonGreedy
3,5.430564593245699,EpsilonGreedy
3,2.65796626895538,EpsilonGreedy
3,3.2076846507413284,EpsilonGreedy
3,2.1104339536183043,EpsilonGreedy
3,5.077908628168791,EpsilonGreedy
3,4.724018892817264,EpsilonGreedy
3,4.403323079768811,EpsilonGreedy
3,3.3795331201811614,EpsilonGreedy
3,2.9380527638682006,EpsilonGreedy
3,3.956891894160671,EpsilonGreedy
3,5.261206554613154,EpsilonGreedy
1,2.593342481645556,EpsilonGreedy
3,3.8622067058152023,EpsilonGreedy
3,3.0766253660331193,EpsilonGreedy
3,5.120378296613304,EpsilonGreedy
3,4.697044699700433,EpsilonGreedy
3,2.379300917533603,EpsilonGreedy
3,4.477129920893255,EpsilonGreedy
3,4.235011610404928,EpsilonGreedy
3,6.1525505963068685,EpsilonGreedy
3,3.9646674033796696,EpsilonGreedy
3,4.658533777117905,EpsilonGreedy
3,6.178821050392426,EpsilonGreedy
3,3.913149553153401,EpsilonGreedy
3,3.8928030022059783,EpsilonGreedy
3,3.6885504812552146,EpsilonGreedy
3,3.5809342556011807,EpsilonGreedy
3,3.6265204658724897,EpsilonGreedy
3,4.349822773290916,EpsilonGreedy
3,3.7853659592254765,EpsilonGreedy
3,4.242815482881856,EpsilonGreedy
3,3.6480204254061284,EpsilonGreedy
3,2.4113053519591863,EpsilonGreedy
3,5.328899546125782,EpsilonGreedy
3,4.377333404256,EpsilonGreedy
3,4.394305372369345,EpsilonGreedy
3,4.954156829327411,EpsilonGreedy
3,3.5878057535237793,EpsilonGreedy
3,3.103189311962625,EpsilonGreedy
3,4.53337920967996,EpsilonGreedy
3,4.800016385999041,EpsilonGreedy
3,4.623402340049417,EpsilonGreedy
3,2.9163098545011508,EpsilonGreedy
3,3.9802945585515515,EpsilonGreedy
3,4.50101224645027,EpsilonGreedy
3,4.533615733594469,EpsilonGreedy
3,3.3415662521045144,EpsilonGreedy
3,3.8130452216830797,EpsilonGreedy
3,4.684103181296525,EpsilonGreedy
3,4.863500610320749,EpsilonGreedy
3,2.4081924392980936,EpsilonGreedy
3,5.1667570363189865,EpsilonGreedy
3,4.809093785283105,EpsilonGreedy
3,5.491631019658007,EpsilonGreedy
3,3.3508601659890838,EpsilonGreedy
3,4.092548134875054,EpsilonGreedy
3,0.3821911745400861,EpsilonGreedy
3,4.553174966321004,EpsilonGreedy
3,4.064823863586837,EpsilonGreedy
3,4.310309612194619,EpsilonGreedy
3,3.55725898942606,EpsilonGreedy
3,4.199828811993566,EpsilonGreedy
3,4.280998720956808,EpsilonGreedy
3,3.9183253491625907,EpsilonGreedy
3,4.814057268060244,EpsilonGreedy
